adapter,vf_merge_level,elapsed_s,returncode,timed_out,pass_observed,pass_attempts,affected,affected_attempts,changed_diff_lines_max,vector_functions_before_max,vector_functions_after_max,before_sha256,after_sha256,ub_reported_bits,ub_bits,ub_bytes,ub_kib,ub_line_observed,diagnostic
flash_attention_npu_v8.ttadapter,0,0.399763,1,False,False,0,False,0,0,0,0,,,485376,485376,60672,59.25,True,[ERROR] Failed to run BiShengIR regbase pipeline
flash_attention_npu_v8.ttadapter,1,0.419909,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,485376,485376,60672,59.25,True,[ERROR] Failed to run BiShengIR regbase pipeline
flash_attention_npu_v8.ttadapter,2,0.412188,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,486400,486400,60800,59.375,True,[ERROR] Failed to run BiShengIR regbase pipeline
fused_attention.ttadapter,0,0.397651,1,False,False,0,False,0,0,0,0,,,699392,699392,87424,85.375,True,[ERROR] Failed to run BiShengIR regbase pipeline
fused_attention.ttadapter,1,0.161471,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,699392,699392,87424,85.375,True,[ERROR] Failed to run BiShengIR regbase pipeline
fused_attention.ttadapter,2,0.158334,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,831488,831488,103936,101.5,True,[ERROR] Failed to run BiShengIR regbase pipeline
hstu_attention.ttadapter,0,0.168973,1,False,False,0,False,0,0,0,0,,,659456,659456,82432,80.5,True,[ERROR] Failed to run BiShengIR regbase pipeline
hstu_attention.ttadapter,1,0.190175,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,659456,659456,82432,80.5,True,[ERROR] Failed to run BiShengIR regbase pipeline
hstu_attention.ttadapter,2,0.190639,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,659456,659456,82432,80.5,True,[ERROR] Failed to run BiShengIR regbase pipeline
unified_attention.ttadapter,0,0.197484,1,False,False,0,False,0,0,0,0,,,139008,139008,17376,16.96875,True,[ERROR] Failed to run BiShengIR regbase pipeline
unified_attention.ttadapter,1,0.217933,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,139008,139008,17376,16.96875,True,[ERROR] Failed to run BiShengIR regbase pipeline
unified_attention.ttadapter,2,0.162404,1,False,False,0,False,0,0,0,0,,,,,,,False,"loc(""/private/tmp/vfmerge-current-live-adapters/unified_attention.ttadapter"":5:1): error: Failed to run buildFinalHIVMPipelines pipeline | loc(""/private/tmp/vfmerge-current-live-adapters/unified_attention.ttadapter"":121:13): error: operand #1 does not dominate this use | [ERROR] Failed to run BiShengIR regbase pipeline"
