source,source_sha256,tl_dot_occurrences,has_loop,compile_coverage,compile_input,level1_affected,level2_affected,ub_level0_bits,ub_level1_bits,ub_level2_bits
ascend_tutorial_06-fused-attention.py,c55b3bd72acbfb0d83b603c3a3eae1947177362d169f98173417cb1ecb028cc4,3,True,adapter_corpus,ascend_tutorial_06-fused-attention.ttadapter,False,False,578560,578560,578560
ascend_tutorials/03-matrix-multiplication.py,30e534e4095094b08b065a35300fd1ab7579a6061cdfa56e32efb76ef979bd43,1,True,adapter_corpus,ascend_tutorial_03-matrix-multiplication.ttadapter,False,False,329728,329728,329728
ascend_tutorials/06-fused-attention.py,c55b3bd72acbfb0d83b603c3a3eae1947177362d169f98173417cb1ecb028cc4,3,True,adapter_corpus,ascend_tutorial_06-fused-attention.ttadapter,False,False,578560,578560,578560
ascend_tutorials/08-grouped-gemm.py,84a2204ad7b859bc26007e25bc2aa61807ae6cefeb85fa65ff6d6d8d425909a7,1,True,adapter_corpus,ascend_tutorial_08-grouped-gemm.ttadapter,False,False,262144,262144,262144
ascend_tutorials/09-persistent-matmul.py,e6682456cf9cb1ee8a66f8acc9818b48e767d0e73620925b6bd94091dc939f6e,2,True,adapter_corpus,ascend_tutorial_09-persistent-matmul.ttadapter,False,False,831488,831488,831488
generalization_cases/test_dot_scaled.py,da6eaa889fa092a550627454438e2c078a32a619362b94442e7e3d9cb0109183,3,True,adapter_corpus,triton.language.dot_scaled.ttadapter,False,False,60160,60160,60160
generalization_cases/test_make_blkptr_matmul.py,7efda17fe8f917ae8ba219339f9738c13d1827c49e8f8d7cfe000d5a471c923b,1,False,source_only_needs_case_contract,,,,,,
generalization_cases/test_matmul.py,4f16f910ec2a863001bf7c1cc5a1f0950bf65366200e0e83ae1765f40bb79932,1,True,source_only_needs_case_contract,,,,,,
generalization_cases/test_matmul_mindspore.py,34c54a92f4571f0411073710cff7d4ae5e072f99b7631f919b1952ed2ea881f0,1,True,source_only_needs_case_contract,,,,,,
kernels_vllm/chunk_gated_delta_rule_fwd_kernel_h_blockdim64.py,afdc7a69b94e07728d7fc8809bb0be737869e78f04d715b0224a9c59109e166b,4,True,adapter_corpus,kernels_vllm_chunk_gated_delta_rule_fwd_kernel_h_blockdim64.ttadapter,False,False,1331200,1331200,1331200
kernels_vllm/chunk_scaled_dot_kkt_fwd_kernel.py,a07072a3b854566b272e8a14c747b8e0606f1029497027bd1e076f5d2310c35b,1,True,adapter_corpus,kernels_vllm_chunk_scaled_dot_kkt_fwd_kernel.ttadapter,False,False,42240,42240,42240
kernels_vllm/merge_16x16_to_32x32_inverse_kernel.py,bfaa0e6a77d56c7b054e789c934822e73e5b39a17420865abee95afe9adcf46a,2,False,adapter_corpus,kernels_vllm_merge_16x16_to_32x32_inverse_kernel.ttadapter,False,False,18432,18432,18432
kernels_vllm/merge_16x16_to_64x64_inverse_kernel.py,f6a95c1d05c5b91c48fe6abbda6c9f68b7c8d076281cba27f62e76d3064d8fb8,6,False,adapter_corpus,kernels_vllm_merge_16x16_to_64x64_inverse_kernel.ttadapter,False,False,221184,221184,221184
kernels_vllm/recompute_w_u_fwd_kernel.py,4f2c1d530177f83e7897d94c9300e63c216f75fa5a8b730487c97a31cec328aa,2,True,adapter_corpus,kernels_vllm_recompute_w_u_fwd_kernel.ttadapter,False,False,60160,60160,60160
pytest_ut/test_12_hstu_attention.py,1d5e74428d46d1b18e1000cdd9c6e6a3fbc84b992b84ed4380648c7605fb5e1a,7,True,current_candidate,hstu_attention.ttadapter,False,False,562176,562176,562176
pytest_ut/test_13_matrix_multiplication_optimized.py,86ed5b12a4e29e0b96a0787242726b4e0bc522699f1238321f5b1b482123483d,2,True,source_only_needs_case_contract,,,,,,
pytest_ut/test_dot.py,21c322e66cca8c22c454e8d5d32610cc2e8b078d1c6cd9186c2835c4c6f7c3fe,4,True,adapter_corpus,triton.language.dot.ttadapter,False,False,,,
