adapter,level1_affected,level2_affected,any_affected,level0_ub_bits,level1_ub_bits,level2_ub_bits,level0_ub_kib,level1_ub_kib,level2_ub_kib,level1_pass_observed,level2_pass_observed,level1_vector_functions_before,level2_vector_functions_before,all_levels_ub_line_observed,diagnostic
ascend_tutorial_01-vector-add.ttadapter,False,False,False,32768,32768,32768,4.0,4.0,4.0,True,True,0,0,True,
ascend_tutorial_02-fused-softmax.ttadapter,False,False,False,68096,68096,68096,8.3125,8.3125,8.3125,True,True,0,0,True,
ascend_tutorial_03-matrix-multiplication.ttadapter,False,False,False,329728,329728,329728,40.25,40.25,40.25,True,True,0,0,True,
ascend_tutorial_04-low-memory-dropout.ttadapter,False,False,False,98560,98560,98560,12.03125,12.03125,12.03125,True,True,0,0,True,
ascend_tutorial_05-layer-norm.ttadapter,False,False,False,48128,48128,48128,5.875,5.875,5.875,True,True,0,0,True,
ascend_tutorial_06-fused-attention.ttadapter,False,False,False,578560,578560,578560,70.625,70.625,70.625,True,True,0,0,True,
ascend_tutorial_07-extern-functions.ttadapter,False,False,False,524544,524544,524544,64.03125,64.03125,64.03125,True,True,0,0,True,
ascend_tutorial_08-grouped-gemm.ttadapter,False,False,False,262144,262144,262144,32.0,32.0,32.0,True,True,0,0,True,
ascend_tutorial_09-persistent-matmul.ttadapter,False,False,False,831488,831488,831488,101.5,101.5,101.5,True,True,0,0,True,
attn_cp_triton_kernel_3d.ttadapter,False,False,False,394752,394752,394752,48.1875,48.1875,48.1875,True,True,0,0,True,
attn_cp_triton_kernel_3d_la.ttadapter,False,False,False,208896,208896,208896,25.5,25.5,25.5,True,True,0,0,True,
